date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:51	61113/61113	---M-Z	200	added ('OK')	text/html	etag:%22eeb9-5df33f3ea33f7-gzip%22	https://shreethemes.in/upstart/layouts/index.html	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/index.html	(from )
10:08:52	277/277	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jan%202023%2007:08:51%20GMT	https://shreethemes.in/robots.txt		(from )
10:08:52	3712/3712	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22e80-5d8c2ab8d6414%22	https://shreethemes.in/upstart/layouts/images/favicon.ico	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/favicon.ico	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:53	193529/193529	---M-Z	200	added ('OK')	text/css	etag:%222f3f9-5df33f3ea2457-gzip%22	https://shreethemes.in/upstart/layouts/css/bootstrap.min.css	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/css/bootstrap.min.css	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:53	4784/4784	---M-Z	200	added ('OK')	text/css	etag:%2212b0-5d8c2ab8c1bec-gzip%22	https://shreethemes.in/upstart/layouts/css/tobii.min.css	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/css/tobii.min.css	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:54	285967/285967	---M-Z	200	added ('OK')	text/css	etag:%2245d0f-5d8c2ab8c1bec-gzip%22	https://shreethemes.in/upstart/layouts/css/materialdesignicons.min.css	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/css/materialdesignicons.min.css	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:54	58297/58297	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v4.0.0/css/line.css	C:/My%20Web%20Sites/html/unicons.iconscout.com/release/v4.0.0/css/line.css	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:55	59724/59724	---M-Z	200	added ('OK')	text/css	etag:%22e94c-5df33f3ea33f7-gzip%22	https://shreethemes.in/upstart/layouts/css/style.min.css	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/css/style.min.css	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:55	2282/2282	---M--	200	added ('OK')	image/png	etag:%228ea-5d8c2ab8d6414%22	https://shreethemes.in/upstart/layouts/images/logo-light.png	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/logo-light.png	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:55	2288/2288	---M--	200	added ('OK')	image/png	etag:%228f0-5d8c2ab8d6414%22	https://shreethemes.in/upstart/layouts/images/logo-dark.png	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/logo-dark.png	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:57	256778/256778	---M--	200	added ('OK')	image/jpeg	etag:%223eb0a-5d8c2ab8d3533%22	https://shreethemes.in/upstart/layouts/images/bg/1.jpg	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/bg/1.jpg	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:57	198515/198515	---M--	200	added ('OK')	image/jpeg	etag:%2230773-5d8c2ab8d3533%22	https://shreethemes.in/upstart/layouts/images/about.jpg	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/about.jpg	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:57	15658/15658	---M--	200	added ('OK')	image/svg+xml	etag:%223d2a-5d8c2ab8d73b4%22	https://shreethemes.in/upstart/layouts/images/svg/design-thinking.svg	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/svg/design-thinking.svg	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:57	7312/7312	---M--	200	added ('OK')	image/svg+xml	etag:%221c90-5d8c2ab8d73b4%22	https://shreethemes.in/upstart/layouts/images/svg/coding.svg	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/svg/coding.svg	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:58	12964/12964	---M--	200	added ('OK')	image/svg+xml	etag:%2232a4-5d8c2ab8d73b4%22	https://shreethemes.in/upstart/layouts/images/svg/office-desk.svg	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/svg/office-desk.svg	(from https://shreethemes.in/upstart/layouts/index.html)
10:08:59	176781/176781	---M--	200	added ('OK')	image/jpeg	etag:%222b28d-5d8c2ab8d73b4%22	https://shreethemes.in/upstart/layouts/images/portfolio/1.jpg	C:/My%20Web%20Sites/html/shreethemes.in/upstart/layouts/images/portfolio/1.jpg	(from https://shreethemes.in/upstart/layouts/index.html)
